Member_number,Recency,Frequency,Monetary
1000,36,13,53.800000000000004
1001,243,12,100.0
1002,123,8,70.3
1003,324,8,60.65
1004,29,21,204.95999999999998
1005,707,4,24.0
1006,200,15,182.94
1008,89,12,155.9
1009,87,9,48.75
1010,153,12,89.36
1011,22,13,89.8
1012,42,11,75.86
1013,90,19,186.75
1014,89,10,75.1
1015,241,7,71.4
1016,87,11,104.7
1017,92,11,75.49
1018,222,8,94.60000000000001
1019,386,2,73.5
1020,79,10,73.84
1021,54,8,53.4
1022,572,6,117.5
1023,186,17,182.0
1024,143,4,58.199999999999996
1025,134,6,42.62
1026,217,17,117.35
1027,228,9,129.70000000000002
1028,173,13,107.60000000000001
1029,292,2,16.349999999999998
1031,77,7,64.60000000000001
1032,130,16,96.46
1033,199,12,91.3
1034,597,9,83.05
1035,114,14,69.89999999999999
1036,710,2,10.8
1037,15,10,58.44
1038,17,19,214.20000000000002
1039,214,2,2.7
1040,35,11,48.1
1041,273,10,113.75
1042,76,6,35.75
1043,355,8,94.69
1044,67,4,25.400000000000002
1045,36,9,103.30000000000001
1046,190,4,16.7
1047,144,6,51.60000000000001
1048,74,6,23.8
1049,117,8,62.300000000000004
1050,241,14,124.6
1051,51,20,207.35999999999999
1052,65,27,271.9
1053,175,12,80.7
1054,71,9,43.9
1055,220,6,75.69999999999999
1056,52,6,58.199999999999996
1057,571,8,32.15
1058,51,8,38.900000000000006
1059,565,5,16.8
1061,117,14,149.1
1062,104,16,129.32
1063,342,4,8.1
1064,159,7,59.1
1065,48,14,225.4
1066,567,6,19.92
1067,164,8,112.3
1068,183,4,20.700000000000003
1069,133,10,90.45
1070,421,4,66.39999999999999
1071,461,3,17.1
1072,69,4,50.7
1073,28,12,109.80000000000001
1074,76,10,71.96000000000001
1075,42,11,80.3
1076,78,13,87.9
1077,110,14,50.9
1078,64,7,50.0
1079,113,6,89.1
1080,231,5,17.8
1081,242,16,138.6
1082,597,5,65.8
1083,328,7,102.7
1084,622,2,7.6
1085,138,7,31.740000000000002
1086,3,14,94.4
1087,139,21,193.82
1088,31,9,58.75
1089,391,2,9.3
1090,71,12,219.2
1092,83,20,104.31
1093,278,2,3.65
1094,114,20,149.79
1095,62,8,57.760000000000005
1096,156,2,15.3
1097,60,17,106.48
1098,49,24,267.62
1099,140,6,39.7
1100,294,10,88.3
1101,368,7,52.0
1102,187,10,73.7
1103,404,10,87.1
1104,65,10,40.25
1105,223,6,34.8
1107,91,20,129.38
1108,154,12,94.06
1109,269,12,93.9
1110,41,18,155.9
1111,41,11,53.3
1112,266,4,26.36
1113,148,11,74.65
1114,174,16,121.12
1115,343,8,68.5
1116,32,24,157.4
1117,221,3,34.6
1118,6,18,173.4
1119,330,2,22.400000000000002
1120,96,17,144.39000000000001
1121,656,2,30.62
1122,10,6,33.0
1123,49,11,73.6
1124,495,4,15.9
1125,42,11,67.56
1126,228,9,124.20000000000002
1127,77,12,85.16
1128,179,10,67.25
1129,375,13,179.64
1130,104,11,94.95
1132,100,10,25.44
1133,150,13,148.94
1134,392,7,48.4
1135,174,10,43.370000000000005
1136,58,19,209.06
1137,96,6,17.6
1138,120,6,53.3
1139,346,9,72.8
1140,188,8,66.7
1141,381,9,80.8
1142,201,8,81.0
1143,250,12,54.5
1144,77,16,133.25
1145,85,6,34.6
1146,110,20,157.52
1147,410,6,49.2
1148,95,19,118.76
1149,19,7,34.6
1150,27,10,54.400000000000006
1151,105,5,68.80000000000001
1152,165,8,83.05
1153,23,17,101.5
1154,228,9,35.2
1155,4,8,89.3
1156,109,2,24.0
1157,453,7,136.9
1158,75,11,49.099999999999994
1159,200,6,25.45
1160,41,15,118.50999999999999
1161,292,7,78.3
1162,147,12,113.5
1163,17,9,54.1
1164,276,5,31.1
1165,2,9,136.2
1166,576,4,29.099999999999998
1167,318,4,23.5
1168,300,9,86.6
1169,381,21,284.8
1170,30,20,184.44
1171,240,10,75.30000000000001
1173,70,9,36.5
1174,323,11,59.900000000000006
1175,184,19,222.36
1176,136,14,96.65
1177,78,4,10.45
1178,46,11,114.24000000000001
1179,476,5,112.60000000000001
1180,494,4,9.9
1181,45,8,38.2
1182,32,16,199.82
1183,185,16,97.6
1184,198,5,43.5
1185,129,10,108.9
1186,249,9,51.83
1187,19,7,14.770000000000001
1188,356,8,69.7
1189,545,4,30.55
1190,65,17,161.10000000000002
1191,145,6,100.60000000000001
1192,356,5,28.400000000000002
1193,49,4,22.56
1194,232,9,73.2
1195,57,6,64.06
1196,34,8,34.42
1197,39,18,153.6
1198,334,7,167.9
1199,21,13,57.5
1200,96,8,26.05
1201,402,4,34.8
1202,162,10,61.599999999999994
1204,161,16,142.10000000000002
1205,292,10,69.1
1206,230,14,96.6
1207,47,8,62.06
1208,15,11,171.45999999999998
1209,415,9,121.28999999999999
1211,221,16,107.75
1212,153,8,68.4
1213,108,13,123.7
1214,355,6,58.9
1215,347,9,76.71000000000001
1216,128,14,183.20000000000002
1217,316,8,68.6
1218,2,21,198.7
1219,455,4,32.6
1220,2,17,186.05
1221,411,2,1.7
1222,98,4,16.8
1223,31,10,61.6
1224,467,4,83.30000000000001
1225,225,21,130.6
1226,49,10,84.55
1227,602,2,7.7
1228,311,3,16.6
1229,286,8,146.39999999999998
1230,42,14,67.65
1231,65,16,156.0
1232,183,7,33.0
1233,140,19,98.36
1234,41,10,74.44
1235,216,19,156.98
1236,234,5,40.599999999999994
1237,266,20,160.79999999999998
1238,305,2,27.0
1239,122,16,139.0
1240,261,13,61.14
1241,223,11,156.22
1242,17,17,125.11
1243,722,2,6.0
1244,401,8,39.02
1245,27,20,168.51
1246,367,8,57.400000000000006
1247,453,4,17.4
1248,16,16,166.65
1249,446,5,62.8
1250,449,2,1.3
1251,35,3,6.6
1252,262,10,104.9
1253,194,6,51.940000000000005
1254,256,5,115.0
1255,461,2,26.799999999999997
1256,124,12,99.65
1257,471,4,20.0
1258,509,6,50.900000000000006
1259,34,14,220.04000000000002
1260,453,4,48.74
1261,224,8,47.05
1262,527,6,46.6
1263,438,4,39.8
1264,24,17,145.0
1265,89,25,279.99
1266,491,2,10.8
1267,595,2,15.000000000000002
1268,438,9,57.8
1269,92,14,123.62
1270,250,6,67.06
1272,522,2,28.8
1273,241,4,24.6
1274,539,7,63.88
1275,74,24,152.56
1276,38,13,101.5
1277,30,15,108.21000000000001
1278,22,15,95.2
1279,112,17,112.9
1280,141,8,47.099999999999994
1281,212,9,91.9
1282,43,10,40.7
1283,48,17,145.20000000000002
1284,486,4,25.6
1285,163,14,107.4
1286,141,16,124.45
1287,125,17,180.92
1288,459,7,92.68
1289,53,11,125.9
1290,100,13,107.5
1291,286,12,55.0
1292,68,4,22.700000000000003
1293,66,11,93.46000000000001
1294,374,12,120.4
1295,161,8,62.35
1296,38,17,154.34
1297,383,9,108.15
1298,157,7,60.8
1299,211,8,23.1
1300,483,2,21.0
1301,58,7,54.0
1302,93,10,56.96
1303,114,14,82.0
1304,136,7,68.5
1305,221,12,114.3
1306,41,9,58.190000000000005
1307,192,12,66.7
1308,292,8,89.4
1309,274,11,88.35000000000001
1310,404,4,12.4
1311,185,8,79.5
1312,227,14,197.8
1313,6,2,17.3
1314,482,2,2.9000000000000004
1315,54,6,82.0
1316,280,6,49.6
1317,523,6,32.54
1318,96,5,51.300000000000004
1319,135,9,63.8
1320,346,10,90.72
1321,262,5,14.600000000000001
1322,73,15,140.64000000000001
1323,58,8,40.9
1324,4,14,179.2
1325,219,9,80.3
1326,52,11,103.8
1327,144,18,136.92000000000002
1328,282,10,88.82
1329,222,16,146.6
1330,59,11,118.4
1331,32,9,61.75
1332,29,15,64.1
1333,100,18,145.5
1334,207,5,27.0
1335,74,12,94.45
1336,271,9,192.85
1337,6,4,70.5
1338,507,5,25.1
1339,33,13,78.5
1340,43,14,82.7
1341,62,12,139.4
1342,315,13,132.05
1343,60,10,124.22000000000001
1344,118,6,26.5
1345,163,10,78.36
1346,237,7,59.699999999999996
1347,107,14,124.4
1348,105,6,58.0
1349,18,11,77.52000000000001
1350,484,6,19.2
1351,308,6,63.099999999999994
1352,668,2,24.4
1353,325,21,235.4
1354,30,13,74.95
1355,103,13,92.7
1356,114,10,131.44
1357,116,6,24.3
1358,2,12,98.4
1359,581,4,46.4
1360,15,16,195.20000000000002
1361,114,17,100.9
1362,86,5,62.7
1363,78,13,96.6
1364,153,8,35.4
1365,59,12,62.5
1366,32,25,224.1
1367,148,5,70.9
1368,169,2,33.9
1369,395,8,23.6
1370,179,13,71.9
1371,234,6,90.3
1372,189,10,97.3
1373,165,14,153.4
1374,148,11,36.8
1375,81,2,7.2
1376,184,7,37.58
1377,292,11,92.9
1378,80,4,52.5
1379,171,28,217.85
1380,40,11,101.1
1381,283,15,104.75
1382,93,6,43.0
1383,311,6,41.0
1384,12,15,86.60000000000001
1385,35,15,164.70000000000002
1386,153,6,54.800000000000004
1387,579,6,47.46
1388,272,7,44.2
1389,316,8,36.3
1390,304,12,99.87
1391,132,13,97.4
1392,255,6,85.9
1393,492,7,44.15
1394,221,4,56.099999999999994
1395,80,23,174.64000000000001
1396,162,8,106.52
1397,10,2,11.8
1398,260,8,86.51
1399,386,9,80.1
1400,446,2,7.8
1401,216,4,13.600000000000001
1402,443,4,17.8
1403,229,10,68.4
1404,242,18,159.5
1405,306,6,45.199999999999996
1406,3,12,102.2
1407,155,23,261.55
1408,161,7,31.9
1409,156,6,37.06
1410,53,27,184.95000000000002
1411,314,4,70.32000000000001
1412,45,12,86.27
1413,382,7,63.8
1414,221,2,3.4000000000000004
1415,368,4,10.8
1416,131,14,137.70000000000002
1417,104,10,70.1
1418,394,7,38.7
1419,268,15,165.5
1420,23,11,82.35
1421,146,11,50.12
1422,88,19,152.4
1423,444,6,49.46
1424,83,6,79.3
1425,98,10,44.32
1426,176,10,74.04
1427,35,16,92.4
1428,347,13,107.14
1429,327,5,31.1
1430,14,16,203.6
1431,54,9,48.3
1432,149,11,96.10000000000001
1433,465,4,50.6
1434,398,8,49.5
1435,251,15,175.55
1436,305,2,13.49
1437,138,4,20.05
1438,33,17,188.94
1439,140,3,16.3
1440,25,12,102.6
1442,122,13,88.10000000000001
1443,83,11,93.4
1444,2,20,163.32000000000002
1445,608,6,25.8
1446,485,8,63.260000000000005
1447,574,3,30.0
1448,287,4,39.1
1449,89,9,54.45
1450,45,16,109.4
1451,338,6,54.56
1452,36,15,191.04
1453,405,4,34.8
1454,70,11,110.7
1455,288,2,20.4
1456,41,18,168.74
1457,356,12,139.4
1458,129,7,46.9
1459,166,4,32.660000000000004
1460,190,10,163.7
1461,10,8,77.3
1462,463,4,19.7
1463,7,6,35.1
1464,211,5,21.8
1465,52,17,190.96
1466,30,23,213.4
1467,133,5,73.0
1468,83,15,105.24
1469,490,2,9.5
1470,568,2,29.7
1471,497,4,16.8
1472,103,16,112.60000000000001
1473,90,10,93.9
1474,155,12,84.8
1475,14,10,106.93
1476,127,13,111.84
1477,41,17,172.9
1478,322,8,71.2
1479,230,14,95.29
1480,40,13,114.44
1481,210,4,23.8
1482,39,20,115.28
1483,187,20,173.62
1484,85,8,143.6
1485,172,4,51.9
1486,17,17,115.9
1487,424,7,34.900000000000006
1488,33,8,96.8
1489,191,13,60.7
1490,88,4,45.5
1491,1,11,108.4
1492,336,11,98.0
1493,91,15,113.7
1494,93,16,175.74
1495,356,9,62.5
1496,614,2,16.8
1497,82,9,123.41999999999999
1498,64,8,56.1
1499,52,10,48.5
1500,285,16,127.52000000000001
1501,136,10,122.6
1502,61,7,49.300000000000004
1503,136,9,94.5
1504,31,11,151.7
1505,65,8,100.56
1506,371,5,76.0
1507,192,16,130.6
1508,46,8,35.9
1509,1,18,148.4
1510,67,18,174.51
1511,284,4,40.42
1512,102,10,59.21
1513,49,10,115.80000000000001
1514,129,10,63.54
1515,33,13,93.1
1516,337,4,70.72
1517,152,10,56.7
1518,20,7,66.45
1519,429,2,13.399999999999999
1520,308,6,81.5
1521,370,6,86.8
1522,372,19,216.19
1523,278,10,124.75
1524,26,10,59.099999999999994
1525,432,5,61.099999999999994
1526,35,11,84.49
1527,1,14,65.9
1528,107,8,85.5
1529,197,7,49.7
1530,446,5,40.900000000000006
1531,346,4,27.7
1532,194,6,93.30000000000001
1533,54,6,60.14
1534,140,18,153.31
1535,181,8,114.36000000000001
1536,243,8,60.400000000000006
1537,333,5,16.0
1538,31,6,45.55
1539,95,5,37.6
1540,35,12,130.9
1542,146,13,136.20000000000002
1544,309,9,74.16
1545,75,7,36.8
1546,362,9,51.8
1547,257,7,57.50000000000001
1548,456,6,45.1
1549,288,9,120.85
1550,231,7,67.95
1551,142,13,92.7
1552,721,2,80.1
1553,163,14,95.7
1554,224,15,183.5
1555,279,2,37.199999999999996
1556,579,2,20.9
1557,149,4,108.6
1558,269,2,15.4
1559,89,7,103.0
1560,594,2,1.9
1561,159,20,136.15
1562,234,6,66.9
1563,613,5,35.0
1564,69,8,83.0
1565,17,19,234.79
1566,42,21,145.76
1567,264,17,192.07999999999998
1568,662,4,48.900000000000006
1569,590,8,46.400000000000006
1570,286,5,41.0
1571,221,8,34.5
1572,101,20,182.1
1573,344,6,36.9
1574,149,23,205.7
1575,361,10,38.620000000000005
1577,290,2,32.1
1578,191,8,57.2
1579,564,2,11.5
1580,26,16,53.35
1581,140,6,83.7
1582,147,6,95.06
1583,38,21,164.05
1584,174,16,141.95
1585,358,8,38.3
1586,608,6,25.9
1587,183,13,101.62
1588,79,8,109.54
1589,491,4,46.00000000000001
1590,138,6,43.7
1591,286,10,103.2
1592,398,2,4.3999999999999995
1593,145,7,32.6
1594,342,6,23.3
1595,87,22,176.9
1596,170,10,35.45
1597,329,8,58.199999999999996
1598,304,7,29.2
1599,79,14,79.44
1601,22,6,85.5
1602,124,14,148.0
1603,92,15,106.75
1604,50,8,48.0
1605,178,11,47.1
1606,50,8,128.0
1607,445,6,35.76
1608,48,18,170.12
1609,14,15,203.1
1610,219,6,25.7
1611,271,10,93.85
1612,55,16,102.3
1613,128,15,164.7
1614,71,4,85.42
1615,28,12,69.5
1616,23,13,132.0
1617,276,9,35.1
1618,151,16,192.72
1619,63,11,132.61
1620,133,11,160.10000000000002
1621,314,14,150.72
1622,295,10,72.96
1623,59,12,135.7
1624,9,9,151.0
1625,34,18,205.26
1626,316,2,4.1
1627,264,9,37.0
1628,42,15,118.4
1629,206,6,60.9
1630,223,4,16.5
1631,139,5,48.6
1632,16,14,117.04
1633,144,6,32.620000000000005
1634,28,19,107.3
1635,36,6,41.86
1636,26,12,119.60000000000001
1638,294,8,81.5
1639,82,7,114.8
1640,663,4,27.4
1641,191,12,94.7
1642,459,2,5.9
1643,247,4,12.0
1644,536,5,62.620000000000005
1645,452,5,34.2
1646,125,17,151.66
1647,11,7,82.88
1648,244,10,89.0
1649,32,18,178.7
1650,552,6,39.8
1651,14,16,220.35
1652,289,12,105.5
1653,24,18,201.0
1654,52,23,247.84
1655,41,9,109.1
1656,62,12,107.14
1657,598,6,38.9
1658,119,12,113.30000000000001
1659,31,15,145.5
1660,158,7,76.25
1661,53,17,115.16
1662,202,5,30.0
1663,50,13,100.1
1664,274,10,57.400000000000006
1665,32,6,30.0
1666,260,4,38.7
1667,353,2,41.6
1668,132,11,127.2
1669,134,9,52.74
1670,39,9,73.5
1672,85,6,39.6
1673,632,2,13.9
1674,27,12,115.55000000000001
1676,81,10,57.6
1677,22,11,219.0
1678,47,8,61.4
1679,23,11,53.2
1680,386,6,67.2
1681,543,6,20.1
1682,60,20,155.66
1683,133,5,29.200000000000003
1684,362,8,79.9
1685,135,8,26.700000000000003
1686,595,7,45.3
1687,440,11,85.30000000000001
1688,51,2,10.1
1689,387,5,54.800000000000004
1690,132,16,125.8
1692,186,15,121.65
1693,4,12,71.9
1694,456,6,37.8
1695,330,2,20.6
1696,88,13,81.95
1697,44,15,78.66
1698,162,9,55.040000000000006
1699,97,10,98.39999999999999
1700,62,4,18.64
1701,228,2,37.900000000000006
1702,351,13,75.9
1703,313,14,125.60000000000001
1705,80,8,50.85
1706,139,14,155.0
1707,205,4,24.5
1708,3,16,159.4
1709,253,4,34.4
1710,26,6,100.0
1711,39,19,163.66
1712,488,5,79.1
1714,151,5,44.400000000000006
1715,180,17,284.89
1716,502,8,101.2
1717,52,8,55.3
1718,292,7,62.95
1719,105,13,85.84
1720,26,7,39.04
1721,77,6,11.8
1722,126,14,69.25
1723,23,10,87.34
1724,113,11,107.0
1725,430,6,82.35000000000001
1726,5,13,132.10000000000002
1727,166,6,32.4
1728,138,7,41.1
1729,16,15,174.70000000000002
1730,6,8,43.0
1731,41,12,97.2
1732,216,7,50.0
1733,191,17,133.6
1734,171,17,181.0
1735,512,5,104.0
1736,124,12,83.0
1737,117,21,156.95
1738,456,8,40.85
1739,214,4,55.900000000000006
1740,405,16,125.8
1741,11,13,117.60000000000001
1742,19,9,111.70000000000002
1743,48,14,86.6
1744,94,4,7.65
1745,649,2,14.4
1746,78,10,49.5
1747,379,11,67.2
1748,298,19,85.8
1749,361,8,87.34
1750,326,12,112.96000000000001
1751,281,10,58.9
1752,256,10,48.6
1753,132,17,124.50000000000001
1754,105,14,108.80000000000001
1755,575,4,16.9
1756,99,9,72.60000000000001
1757,8,15,108.0
1758,308,14,127.84
1759,96,12,127.8
1760,342,8,50.8
1761,90,18,228.22
1762,183,4,11.0
1763,4,7,57.449999999999996
1764,46,11,58.6
1765,295,8,112.8
1766,344,5,79.75
1767,68,12,102.36
1768,118,20,125.01
1769,1,5,26.800000000000004
1770,42,10,45.52
1771,283,6,34.0
1772,59,8,57.49999999999999
1773,60,9,71.1
1774,146,12,62.650000000000006
1775,81,2,41.39999999999999
1776,260,14,109.30000000000001
1777,28,20,185.9
1778,374,6,85.3
1779,64,9,101.10000000000001
1780,79,21,119.05000000000001
1781,208,6,65.46000000000001
1782,82,13,164.2
1783,177,18,126.24000000000001
1784,96,7,66.69999999999999
1785,10,20,196.3
1786,324,6,24.3
1787,61,13,232.7
1788,11,16,105.55000000000001
1789,70,10,100.39999999999999
1790,277,4,22.7
1791,455,8,59.4
1792,138,13,182.84
1793,27,25,345.09999999999997
1794,105,5,26.3
1795,272,4,65.75
1796,58,14,86.4
1797,412,11,92.09
1798,364,17,135.20000000000002
1799,95,9,46.82
1800,153,12,81.4
1801,202,11,47.3
1803,233,9,53.9
1804,31,9,81.9
1805,205,7,42.300000000000004
1806,178,11,109.22
1807,13,6,85.7
1808,163,10,109.8
1809,430,6,38.4
1810,444,12,107.2
1811,99,18,145.29999999999998
1812,78,4,49.80000000000001
1813,395,3,50.9
1814,41,12,97.4
1815,123,11,67.3
1816,497,10,88.11
1817,132,12,133.20000000000002
1818,112,10,48.6
1819,13,17,206.9
1820,268,10,85.39999999999999
1821,224,8,140.2
1822,303,13,68.9
1823,34,11,120.9
1824,60,9,70.4
1825,40,13,104.9
1826,377,2,11.700000000000001
1827,183,23,158.6
1828,282,9,38.25
1829,195,9,74.2
1830,349,4,36.5
1831,356,7,67.15
1832,44,16,154.75
1833,160,10,80.8
1834,39,7,72.16
1835,192,10,106.64
1836,114,6,95.0
1837,175,12,87.75
1838,281,10,91.9
1839,83,11,142.20000000000002
1840,368,5,40.9
1841,235,4,28.6
1842,311,6,45.8
1843,25,9,56.65
1844,48,15,109.72
1845,146,7,20.0
1846,32,12,62.5
1847,258,9,60.05
1848,178,8,47.25
1849,189,8,61.42
1850,295,8,99.2
1851,173,10,82.0
1852,479,10,56.32
1853,214,9,126.1
1854,158,6,38.7
1855,52,13,160.65
1856,66,8,95.9
1857,112,5,80.7
1858,250,5,38.7
1859,217,11,161.4
1860,523,4,14.7
1861,141,5,32.9
1862,117,15,225.65
1863,149,14,110.6
1864,95,8,61.6
1865,28,14,146.60000000000002
1866,53,18,244.5
1867,277,11,67.7
1868,425,7,68.5
1869,229,11,51.0
1870,113,25,257.54
1871,382,2,21.9
1872,129,10,47.7
1873,103,6,45.3
1874,155,9,35.9
1875,155,5,69.9
1876,198,2,25.299999999999997
1877,457,11,43.22
1878,34,21,127.61
1879,418,8,34.4
1880,107,4,18.8
1881,77,11,51.05
1882,97,6,97.4
1883,56,10,66.7
1884,20,12,105.05
1885,6,11,78.5
1886,29,4,22.560000000000002
1887,52,22,185.8
1888,208,14,183.1
1889,125,18,240.15
1890,218,8,197.20000000000002
1891,544,6,22.8
1892,41,15,109.12
1893,271,8,92.30000000000001
1894,89,14,141.2
1895,403,13,118.38
1896,380,12,111.3
1897,340,8,47.4
1898,415,2,12.8
1899,68,12,93.64
1900,98,10,74.44
1901,32,12,99.2
1902,30,7,59.220000000000006
1903,296,10,62.45
1904,257,6,61.2
1905,74,26,253.51
1907,165,5,51.2
1908,158,20,180.64000000000001
1909,122,7,44.800000000000004
1910,62,10,85.6
1911,212,7,74.66
1912,131,6,55.099999999999994
1913,135,16,195.7
1914,210,7,36.55
1915,146,4,13.0
1916,45,7,34.65
1917,155,11,137.0
1918,93,4,70.4
1919,135,4,39.6
1920,318,6,30.0
1921,50,14,193.0
1922,85,19,98.9
1923,25,12,93.15
1924,44,14,72.99
1925,576,2,10.700000000000001
1926,76,6,65.0
1927,230,6,38.6
1928,105,9,99.80000000000001
1929,174,21,126.9
1930,46,13,115.3
1931,83,16,157.7
1932,115,20,179.8
1933,436,2,16.2
1934,147,19,185.8
1935,490,11,49.6
1936,138,6,42.2
1937,75,13,67.8
1938,237,10,72.0
1939,62,14,137.52
1940,43,11,204.15
1941,106,5,36.6
1942,442,4,39.0
1943,92,20,140.86
1944,122,4,21.7
1945,245,14,115.9
1946,23,12,110.5
1947,533,9,112.0
1948,128,22,135.15
1949,162,15,219.8
1950,50,10,43.35
1951,70,6,108.10000000000001
1952,38,10,85.30000000000001
1953,297,4,57.2
1954,147,11,114.62
1955,321,8,76.12
1956,717,2,11.3
1957,334,4,20.8
1958,181,7,101.5
1959,18,19,160.6
1960,356,4,25.200000000000003
1961,16,12,54.9
1962,206,10,70.8
1963,1,2,11.100000000000001
1964,395,10,53.17
1965,149,4,44.2
1966,434,16,91.24000000000001
1967,65,15,93.95
1968,89,11,101.0
1969,161,14,76.76
1970,568,9,100.7
1971,104,8,120.55
1972,212,5,25.900000000000002
1973,68,2,114.9
1974,242,5,76.6
1975,96,4,23.3
1976,78,3,6.7
1977,353,3,41.9
1978,300,6,105.9
1979,40,17,193.7
1980,77,10,49.830000000000005
1981,61,4,54.7
1982,17,7,89.2
1983,144,16,199.6
1985,35,8,39.75
1987,77,9,76.0
1988,114,6,56.900000000000006
1989,113,2,7.6000000000000005
1990,152,6,42.2
1991,22,23,201.20000000000002
1992,125,8,103.80000000000001
1993,176,9,81.9
1994,87,14,86.7
1995,202,17,61.82
1996,235,10,51.75
